iter	RMSE
324	0.1192815052
325	0.119140866
326	0.1190322169
327	0.1189508395
328	0.1188935492
329	0.1188806268
330	0.1186423633
331	0.1186138036
332	0.1184921959
333	0.1184573645
334	0.1184005238
335	0.1183274564
336	0.118133555
337	0.1180681464
338	0.117839952
339	0.1178066579
340	0.1177845707
341	0.1177464553
342	0.1176474324
343	0.1174655023
344	0.1172781791
345	0.1171873346
346	0.1171145783
347	0.1171063129
348	0.1170743759
349	0.1169797725
350	0.1169062667
351	0.1167785326
352	0.1167451549
353	0.1165749995
354	0.1165441113
355	0.1164881814
356	0.1164118427
357	0.1163077362
358	0.1162072567
359	0.1160785146
360	0.1160541207
361	0.1158831413
362	0.1157990672
363	0.1157524024
364	0.1157171621
365	0.1156492404
366	0.1156214511
367	0.1155012703
368	0.1154112513
369	0.1153701293
370	0.1152998406
371	0.1152638277
372	0.1152031858
373	0.1150966616
374	0.1150424096
375	0.1150054962
376	0.1149746274
377	0.1149666571
378	0.114959051
379	0.1147993569
380	0.1147392294
381	0.1146574691
382	0.1145844672
383	0.1145689705
384	0.1144335969
385	0.1144097005
386	0.1143411183
387	0.1142482308
388	0.1141743466
389	0.1141460253
390	0.1140952129
391	0.1140576205
392	0.1139747722
393	0.1138404866
394	0.1137464497
395	0.1137158281
396	0.1136595583
397	0.1135754949
398	0.1134074047
399	0.113388346
400	0.1132923416
401	0.1132167616
402	0.1131916023
403	0.113072508
404	0.1129864177
405	0.1129329602
406	0.1128954092
407	0.1128459787
408	0.1127840069
409	0.1126677444
410	0.1126449737
411	0.112563596
412	0.1125215932
413	0.1124681015
414	0.1124152289
415	0.1123339213
416	0.1122723567
417	0.1122329777
418	0.112175195
419	0.1121579029
420	0.1121370906
421	0.1120697545
422	0.1120262694
423	0.1119479384
424	0.1117969467
425	0.1117192553
426	0.1116873105
427	0.1116749681
428	0.1116276896
429	0.1115654992
430	0.1115018818
431	0.1114432891
432	0.1114038967
433	0.1112634344
434	0.1111679878
435	0.1110857021
436	0.1109848232
437	0.1109202083
438	0.1108969495
439	0.1108234727
440	0.1107295922
441	0.1105925979
442	0.1105820489
443	0.1104963211
444	0.1104592541
445	0.1103870297
446	0.1103701227
447	0.1102756137
448	0.1102501329
449	0.1102005604
450	0.1101689539
451	0.1100673368
452	0.1100565581
453	0.1099923484
454	0.1099610404
455	0.1099446583
456	0.1098919103
457	0.1098718014
458	0.1098265078
459	0.1097513748
460	0.1096948355
461	0.1096470471
462	0.1096118114
463	0.1095537884
464	0.1094964464
465	0.109357739
466	0.1093122786
467	0.1091200127
468	0.1090750149
469	0.1089789476
470	0.108932574
471	0.1088736903
472	0.1088682868
473	0.1088034679
474	0.1087109965
475	0.1085778909
476	0.1084896369
477	0.1083364663
478	0.1083043901
479	0.1082518978
480	0.1081362986
481	0.1081120877
482	0.108047247
483	0.1080028891
484	0.1079658571
485	0.1078783403
486	0.1077805754
487	0.1077041519
488	0.1075725941
489	0.1075139908
490	0.1074955656
491	0.107379277
492	0.1073357105
493	0.107301691
494	0.1072673685
495	0.1072117667
496	0.1070962986
497	0.1070406107
498	0.1069559337
499	0.1068788035
500	0.1068091662
501	0.1066815943
502	0.1066769993
503	0.1066266413
504	0.1065677744
505	0.1064744917
506	0.1064266454
507	0.1063692279
508	0.1063034833
509	0.1062103647
510	0.1061948935
511	0.1061382618
512	0.106085161
513	0.1060373994
514	0.1059583016
515	0.1059293305
516	0.1058863639
517	0.1057870937
518	0.1056887821
519	0.1056058423
520	0.1054750309
521	0.1054185918
522	0.1053537836
523	0.1052790062
524	0.1052394602
525	0.1052126822
526	0.1052104565
527	0.1051701534
528	0.1051170061
529	0.1050407651
530	0.1050183009
531	0.1049794723
532	0.1049194208
533	0.1048382353
534	0.1048378137
535	0.1047674552
536	0.1046898418
537	0.1046039086
538	0.1045114811
539	0.1043979023
540	0.1043138664
541	0.1042950925
542	0.1042458147
543	0.1042262544
544	0.1040909264
545	0.1039836722
546	0.1038858936
547	0.1038540062
548	0.1038316621
549	0.1038047779
550	0.1037454889
551	0.1037084503
552	0.1035510387
553	0.1034701481
554	0.1034277539
555	0.103391501
556	0.1033492384
557	0.1033141575
558	0.1032505871
559	0.1032144037
560	0.1031675685
561	0.1031456416
562	0.1030533879
563	0.1029960569
564	0.1029220157
565	0.1028748128
566	0.1028569011
567	0.1028514685
568	0.102795565
569	0.1027268116
570	0.1026874626
571	0.1026709317
572	0.1025848493
573	0.1025363309
574	0.102465792
575	0.1024081067
576	0.1023368425
577	0.1022419904
578	0.1022027937
579	0.1021473997
580	0.1021104728
581	0.1020574355
582	0.101998352
583	0.1019309701
584	0.1018497989
585	0.1017998653
586	0.1016912259
587	0.1016663945
588	0.1016330343
589	0.1016164904
590	0.1015767339
591	0.1015495744
592	0.1015193149
593	0.1014605816
594	0.101414626
595	0.1013857519
596	0.1013333867
597	0.1012271144
598	0.1011446236
599	0.1011248184
600	0.1010942696
601	0.1010409031
602	0.1010210462
603	0.101004517
604	0.1009042848
605	0.1008071629
606	0.1007264681
607	0.1006310085
608	0.1005699253
609	0.1004971921
610	0.1004252447
611	0.1003713247
612	0.100326461
613	0.1002428414
614	0.1001858655
615	0.1001399648
616	0.1000987223
617	0.100052177
618	0.1000409025
619	0.09998331838
620	0.0999504835
621	0.09993658161
622	0.09988308103
623	0.09985987194
624	0.09982122232
625	0.09980493749
626	0.09973592791
627	0.09965079454
628	0.09950674406
629	0.0995005987
630	0.09947281887
631	0.09942141423
632	0.09931994181
633	0.09922772365
634	0.09914729645
635	0.09904841319
636	0.09902457933
637	0.09892276104
638	0.09885789723
639	0.09876678321
640	0.09869350955
641	0.09861104779
642	0.09857873663
643	0.09853655462
644	0.09850056026
645	0.09839710752
646	0.09836363803
647	0.09829027903
648	0.0982717291
649	0.09818741883
650	0.09811818556
651	0.09806397697
652	0.09800512528
653	0.09798805419
654	0.09792281443
655	0.09784222491
656	0.09780471277
657	0.09771131105
658	0.09763217886
659	0.09758199158
660	0.09750070562
661	0.09744686913
662	0.09742068067
663	0.09738961816
664	0.09733812902
665	0.0972949554
666	0.09722068421
667	0.09717674414
668	0.09713847962
669	0.09708281305
670	0.09702766483
671	0.0969896583
672	0.0969560772
673	0.09688255734
674	0.09673195932
675	0.09660444956
676	0.09656019877
677	0.09649934358
678	0.09645760435
679	0.09639761282
680	0.0963753302
681	0.09635255919
682	0.09630692341
683	0.09625175569
684	0.09615916614
685	0.09613358716
686	0.09608602012
687	0.09604228416
688	0.09598652376
689	0.09593705708
690	0.095875565
691	0.09585018509
692	0.09576542173
693	0.09569308897
694	0.09565921759
695	0.09560790303
696	0.09555060785
697	0.09552076826
698	0.09539613605
699	0.09535828219
700	0.0952979044
701	0.09521362265
702	0.09519962024
703	0.09517083543
704	0.09515416191
705	0.09506553473
706	0.09503755696
707	0.09501298855
708	0.09493909016
709	0.09485439024
710	0.09482325236
711	0.09480310403
712	0.09477051611
713	0.09470746628
714	0.09466220837
715	0.09465296384
716	0.09461363854
717	0.09457004029
718	0.09456180956
719	0.09450963668
720	0.09441434087
721	0.09431061026
722	0.09426087101
723	0.09416954497
724	0.09411798133
725	0.0940636973
726	0.09402929281
727	0.09393114623
728	0.09383022132
729	0.09374784581
730	0.09369952453
731	0.09366857041
732	0.09362906788
733	0.09361106921
734	0.0935823051
735	0.09352585338
736	0.09340460971
737	0.09337201991
738	0.09332167556
739	0.09330618375
740	0.09328407191
741	0.09322969372
742	0.09315296013
743	0.09312151075
744	0.09305363734
745	0.09295704107
746	0.09291844686
747	0.09287203825
748	0.09285103199
749	0.09279626609
750	0.0926989601
751	0.09264330474
752	0.09260853429
753	0.09254955079
754	0.09249603258
755	0.09243592618
756	0.09235241293
757	0.09230864854
758	0.09224290815
759	0.0921660736
760	0.09212028362
761	0.09208468985
762	0.09200583712
763	0.09197414317
764	0.09195493305
765	0.09190455452
766	0.09186722811
767	0.09181699651
768	0.09175190714
769	0.09173623407
770	0.0917232347
771	0.09166417226
772	0.09161795725
773	0.09154015722
774	0.09148198685
775	0.09147208508
776	0.0914325734
777	0.09141612465
778	0.09138178919
779	0.09135464293
780	0.09130173928
781	0.09122841343
782	0.09120841922
783	0.09119566956
784	0.09113608346
785	0.09107526126
786	0.09104748474
787	0.09102947123
788	0.09094437636
789	0.09090051719
790	0.09084709398
791	0.09079072217
792	0.09075860555
793	0.09069017173
794	0.09062749013
795	0.09061420146
796	0.09057270678
797	0.09055258632
798	0.09051591306
799	0.0904735835
