iter	Passed	Remaining
206	14597	41818
207	14642	41674
208	14690	41540
209	14742	41418
210	14788	41280
211	14838	41155
212	14883	41016
213	14931	40886
214	14991	40790
215	15050	40691
216	15105	40583
217	15159	40472
218	15220	40380
219	15288	40307
220	15348	40212
221	15419	40147
222	15469	40025
223	15512	39890
224	15587	39835
225	15679	39821
226	15769	39804
227	15854	39775
228	15945	39758
229	16029	39724
230	16107	39676
231	16202	39667
232	16292	39647
233	16378	39617
234	16466	39590
235	16559	39575
236	16633	39512
237	16688	39407
238	16733	39277
239	16789	39175
240	16880	39153
241	16967	39122
242	17060	39106
243	17147	39074
244	17244	39063
245	17337	39043
246	17431	39026
247	17517	38991
248	17610	38969
249	17704	38950
250	17799	38932
251	17873	38868
252	17944	38797
253	17992	38677
254	18037	38549
255	18102	38467
256	18167	38386
257	18253	38345
258	18342	38314
259	18426	38271
260	18512	38230
261	18605	38205
262	18652	38084
263	18701	37970
264	18792	37939
265	18889	37921
266	18981	37892
267	19069	37853
268	19148	37797
269	19206	37701
270	19252	37582
271	19298	37460
272	19341	37336
273	19388	37221
274	19463	37158
275	19550	37118
276	19643	37089
277	19739	37063
278	19831	37032
279	19930	37013
280	20071	37072
281	20160	37032
282	20207	36916
283	20259	36808
284	20334	36745
285	20403	36669
286	20448	36550
287	20488	36424
288	20528	36297
289	20579	36192
290	20643	36108
291	20710	36031
292	20780	35958
293	20841	35870
294	20895	35771
295	20947	35666
296	20998	35562
297	21054	35467
298	21116	35381
299	21175	35292
300	21239	35211
301	21304	35131
302	21370	35053
303	21425	34956
304	21476	34855
305	21545	34783
306	21624	34726
307	21697	34658
308	21757	34572
309	21810	34475
310	21899	34433
311	21985	34387
312	22074	34345
313	22167	34310
314	22257	34269
315	22332	34204
316	22403	34135
317	22478	34070
318	22543	33991
319	22620	33930
320	22693	33863
321	22784	33822
322	22857	33755
323	22939	33700
324	23011	33632
325	23078	33555
326	23135	33465
327	23193	33375
328	23269	33313
329	23343	33246
330	23412	33174
331	23502	33130
332	23560	33041
333	23615	32948
334	23670	32856
335	23720	32757
336	23783	32675
337	23841	32587
338	23902	32504
339	23961	32418
340	24020	32333
341	24083	32252
342	24169	32202
343	24237	32128
344	24285	32028
345	24332	31927
346	24395	31848
347	24457	31767
348	24519	31685
349	24575	31597
350	24631	31508
351	24687	31420
352	24786	31386
353	24836	31291
354	24884	31193
355	24939	31104
356	24988	31008
357	25040	30916
358	25096	30829
359	25154	30744
360	25211	30659
361	25271	30576
362	25344	30511
363	25424	30454
364	25473	30359
365	25516	30257
366	25564	30161
367	25630	30088
368	25690	30007
369	25746	29921
370	25801	29835
371	25860	29753
372	25922	29675
373	26005	29620
374	26081	29559
375	26153	29492
376	26204	29401
377	26270	29328
378	26322	29239
379	26387	29165
380	26450	29089
381	26526	29026
382	26580	28939
383	26644	28864
384	26709	28790
385	26770	28712
386	26844	28647
387	26930	28596
388	27017	28545
389	27096	28486
390	27189	28440
391	27247	28359
392	27356	28330
393	27449	28285
394	27538	28236
395	27618	28176
396	27661	28079
397	27722	28001
398	27792	27931
399	27850	27850
400	27903	27763
401	27945	27667
402	28009	27592
403	28086	27530
404	28167	27471
405	28250	27415
406	28377	27401
407	28436	27321
408	28479	27226
409	28543	27150
410	28617	27085
411	28685	27014
412	28754	26944
413	28824	26875
414	28886	26798
415	28964	26736
416	29030	26663
417	29097	26591
418	29151	26507
419	29194	26414
420	29235	26318
421	29304	26249
422	29360	26167
423	29425	26094
424	29504	26033
425	29580	25969
426	29633	25886
427	29674	25791
428	29744	25723
429	29833	25670
430	29934	25628
431	30029	25580
432	30125	25533
433	30217	25483
434	30300	25424
435	30375	25359
436	30432	25278
437	30474	25186
438	30516	25094
439	30591	25029
440	30677	24972
441	30770	24922
442	30863	24872
443	30957	24821
444	31052	24772
445	31146	24721
446	31232	24664
447	31325	24612
448	31417	24559
449	31526	24520
450	31594	24448
451	31648	24366
452	31693	24277
453	31737	24187
454	31789	24103
455	31876	24047
456	31976	24000
457	32044	23928
458	32091	23841
459	32154	23766
460	32239	23707
461	32329	23652
462	32411	23591
463	32478	23518
464	32534	23439
465	32614	23376
466	32709	23323
467	32797	23266
468	32891	23213
469	32967	23147
470	33053	23088
471	33144	23032
472	33240	22980
473	33339	22929
474	33439	22879
475	33538	22828
476	33629	22772
477	33718	22714
478	33783	22640
479	33831	22554
480	33874	22465
481	33934	22388
482	34033	22336
483	34099	22263
484	34146	22177
485	34187	22088
486	34229	21999
487	34284	21919
488	34349	21845
489	34394	21759
490	34472	21694
491	34561	21636
492	34650	21577
493	34751	21526
494	34848	21472
495	34943	21417
496	35069	21380
497	35126	21301
498	35183	21223
499	35264	21158
500	35323	21081
501	35393	21010
502	35442	20927
503	35487	20841
504	35554	20769
505	35649	20713
506	35746	20658
507	35848	20605
508	35902	20525
509	35965	20450
510	36039	20382
511	36115	20315
512	36181	20241
513	36261	20176
514	36333	20106
515	36418	20044
516	36482	19970
517	36550	19898
518	36602	19817
519	36642	19730
520	36681	19643
521	36732	19562
522	36808	19494
523	36866	19418
524	36914	19336
525	36995	19271
526	37093	19215
527	37195	19161
528	37296	19106
529	37400	19053
530	37493	18993
531	37589	18936
532	37683	18877
533	37762	18810
534	37816	18731
535	37858	18646
536	37927	18575
537	38025	18518
538	38113	18455
539	38216	18400
540	38307	18339
541	38390	18274
542	38478	18211
543	38564	18148
544	38657	18087
545	38749	18026
546	38838	17963
547	38927	17901
548	39002	17831
549	39063	17756
550	39109	17673
551	39153	17590
552	39198	17508
553	39273	17439
554	39360	17375
555	39448	17311
556	39534	17247
557	39623	17184
558	39713	17121
559	39802	17058
560	39892	16995
561	39987	16934
562	40051	16860
563	40104	16781
564	40164	16705
565	40216	16626
566	40258	16543
567	40307	16463
568	40373	16390
569	40464	16327
570	40557	16265
571	40646	16201
572	40736	16138
573	40823	16073
574	40917	16011
575	41016	15950
576	41109	15888
577	41203	15825
578	41293	15761
579	41382	15696
580	41516	15649
581	41570	15570
582	41609	15487
583	41652	15405
584	41723	15334
585	41815	15270
586	41899	15203
587	41987	15138
588	42048	15063
589	42094	14982
590	42142	14903
591	42200	14827
592	42254	14750
593	42309	14672
594	42365	14596
595	42426	14521
596	42484	14446
597	42541	14370
598	42593	14292
599	42670	14223
600	42738	14151
601	42778	14069
602	42817	13988
603	42860	13908
604	42920	13833
605	42984	13760
606	43049	13687
607	43119	13616
608	43198	13548
609	43295	13485
610	43388	13421
611	43476	13355
612	43568	13290
613	43655	13224
614	43739	13157
615	43827	13091
616	43902	13021
617	43985	12953
618	44051	12881
619	44122	12809
620	44208	12742
621	44303	12678
622	44389	12611
623	44475	12544
624	44552	12474
625	44636	12406
626	44726	12340
627	44813	12273
628	44899	12206
629	44983	12138
630	45075	12072
631	45164	12005
632	45211	11927
633	45257	11849
634	45299	11770
635	45359	11696
636	45449	11629
637	45535	11562
638	45608	11491
639	45677	11419
640	45763	11351
641	45854	11284
642	45939	11217
643	46025	11149
644	46109	11080
645	46184	11009
646	46235	10933
647	46274	10854
648	46315	10775
649	46359	10698
650	46405	10621
651	46445	10542
652	46498	10467
653	46579	10398
654	46662	10329
655	46764	10265
656	46882	10204
657	46986	10139
658	47095	10076
659	47197	10011
660	47302	9947
661	47398	9880
662	47480	9811
663	47553	9739
664	47608	9664
665	47649	9587
666	47692	9509
667	47785	9442
668	47889	9377
669	47937	9301
670	47982	9224
671	48055	9153
672	48143	9085
673	48220	9014
674	48263	8937
675	48306	8860
676	48363	8786
677	48421	8713
678	48477	8638
679	48538	8565
680	48604	8493
681	48676	8422
682	48727	8347
683	48778	8272
684	48817	8195
685	48856	8118
686	48898	8042
687	48958	7970
688	49017	7896
689	49081	7824
690	49139	7751
691	49206	7679
692	49251	7604
693	49317	7532
694	49397	7462
695	49485	7394
696	49572	7325
697	49661	7257
698	49747	7188
699	49835	7119
700	49920	7050
701	49999	6980
702	50056	6906
703	50124	6835
704	50201	6764
705	50285	6695
706	50367	6625
707	50443	6554
708	50518	6484
709	50596	6413
710	50684	6344
711	50774	6275
712	50865	6206
713	50952	6137
714	51031	6066
715	51119	5997
716	51201	5927
717	51286	5857
718	51332	5782
719	51396	5710
720	51485	5641
721	51571	5571
722	51656	5501
723	51740	5431
724	51824	5361
725	51911	5291
726	51997	5221
727	52080	5150
728	52170	5081
729	52255	5010
730	52320	4938
731	52412	4868
732	52489	4797
733	52539	4724
734	52583	4650
735	52635	4576
736	52695	4504
737	52780	4434
738	52845	4362
739	52927	4291
740	53013	4221
741	53122	4152
742	53225	4083
743	53272	4009
744	53317	3936
745	53358	3862
746	53407	3789
747	53462	3716
748	53531	3645
749	53583	3572
750	53639	3499
751	53692	3427
752	53744	3354
753	53809	3282
754	53868	3210
755	53932	3138
756	54003	3067
757	54062	2995
758	54110	2922
759	54161	2850
760	54206	2778
761	54266	2706
762	54309	2633
763	54358	2561
764	54406	2489
765	54484	2418
766	54569	2347
767	54654	2277
768	54743	2206
769	54829	2136
770	54906	2065
771	54975	1993
772	55021	1921
773	55086	1850
774	55171	1779
775	55258	1709
776	55347	1638
777	55431	1567
778	55515	1496
779	55601	1425
780	55682	1354
781	55777	1283
782	55861	1212
783	55940	1141
784	56039	1070
785	56109	999
786	56183	928
787	56227	856
788	56269	784
789	56319	712
790	56403	641
791	56490	570
792	56574	499
793	56658	428
794	56748	356
795	56837	285
796	56927	214
797	57017	142
798	57111	71
799	57205	0
